stage,ep,reward,success,steps,total_steps,critic_loss,actor_loss
4,632,-28.83436458557844,2,82,782589,0.8127073340299653,22.310030565029237
4,633,4.705516249872744,1,248,782837,0.8119192736283425,22.20265749577553
4,634,-75.46755629777908,2,58,782895,0.8101787505478695,22.315539557358314
4,635,169.91198712959886,1,464,783359,0.7750409465796989,22.07071980320174
4,636,78.31570814666338,1,508,783867,0.7932071961521163,22.006295406912255
4,637,-79.38485819101334,2,85,783952,0.7414614533676821,22.19508716358858
4,638,192.41429561562836,1,584,784536,0.8247960817119847,22.38405904541277
4,639,64.88946190086426,2,406,784942,0.7678885012865067,22.053644058152372
4,640,106.07636309228837,1,336,785278,0.8125290146008843,22.212408542633057
4,641,-142.3221070319414,2,215,785493,0.8451922763225644,21.945309204278992
4,642,33.141408026218414,1,30,785523,0.6272139449914297,21.75939852396647
4,643,-72.85692389309406,2,179,785702,0.7576784365004001,21.72512720417044
4,644,81.18170361788361,1,258,785960,0.771947431240895,21.862958091173986
4,645,-71.16060212254524,2,98,786058,0.8082133029796639,22.300248632625657
4,646,101.07892036437988,1,190,786248,0.8494767590572959,21.787381950177643
4,647,84.00188426719978,1,385,786633,0.8354433222250505,22.09710572478059
4,648,-44.09825676679611,2,31,786664,0.8167667658098282,21.49842089991416
4,649,111.614537358284,1,217,786881,0.8410287605177972,21.857577728236325
4,650,70.58800183977291,1,292,787173,0.7356461591712417,21.925860911199493
4,651,-54.90163520583883,1,604,787777,0.7718678881593098,21.903792098657973
4,652,-150.7421947382063,2,214,787991,0.7724878950932316,22.32440009072562
4,653,135.96222729422152,1,335,788326,0.7915365556282784,22.047577106418895
4,654,-89.5315568447113,2,110,788436,0.8723290876908736,22.14148585579612
4,655,157.22804987430573,1,348,788784,0.8153595524443977,21.816970255183076
4,656,115.30521851168669,1,496,789280,0.8084133496928599,21.582035072388187
4,657,209.9518720281194,1,701,789981,0.8262229078846549,21.866128135169625
4,658,-38.3830888569355,2,48,790029,0.82859383088847,22.264057596524555
4,659,89.58349107787944,1,268,790297,0.8256264321172415,21.87373943471197
4,660,-37.299290120601654,2,48,790345,0.6710925785203775,21.754990597565968
