episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
434, 80.5194807574153, 1, 4.7169056220009224, 273, 716832,                                             716832, 0.8256544861601386, 25.622963294004784
435, 48.40282266656868, 1, 3.325879655996687, 207, 717039,                                             717039, 0.7782149034133856, 25.41833716314196
436, -39.08332461118698, 2, 0.9042326259950642, 42, 717081,                                             717081, 0.8415190527836481, 25.412303879147483
437, 53.60512763261795, 1, 1.9086582349991659, 104, 717185,                                             717185, 0.8134953557298734, 25.05909828039316
438, 22.103623481467366, 1, 7.722001789996284, 468, 717653,                                             717653, 0.7475806449850401, 25.30745849446354
439, 156.212900551036, 1, 12.53454437799519, 773, 718426,                                             718426, 0.7797579140743339, 25.268567197535663
440, -49.102495797909796, 2, 1.9195018030004576, 112, 718538,                                             718538, 0.7998613728476422, 25.260722177369253
441, 12.768450459465384, 1, 3.7945271909993608, 220, 718758,                                             718758, 0.8523116734894839, 25.1603798085993
442, 24.37242943889032, 1, 5.73289874799957, 347, 719105,                                             719105, 0.8058060607752127, 25.172561909348545
443, 76.6059938739636, 1, 9.329546218999894, 568, 719673,                                             719673, 0.7887133031453885, 25.13704417792844
444, -83.56399403116666, 2, 4.117585232001147, 192, 719865,                                             719865, 0.8145536310039461, 25.287480900684994
445, 130.70065280198833, 1, 6.521048439011793, 391, 720256,                                             720256, 0.7571617149178634, 25.19977977879517
446, -53.27602859819308, 2, 6.7320666309969965, 417, 720673,                                             720673, 0.7826546887985523, 25.118901639247685
447, -175.91207620501518, 2, 4.318172913990566, 249, 720922,                                             720922, 0.9216277617287923, 25.20509949649673
448, 184.2007950230327, 1, 10.33095073000004, 634, 721556,                                             721556, 0.7698194671786546, 25.060486032383675
449, 368.1769424453196, 1, 19.57560383398959, 1238, 722794,                                             722794, 0.7866590900018643, 25.0463380443838
